"year","month","lon5","lat5","mean.pred1"
1969,5,182.5,-42.5,6.96248012929443
1969,5,182.5,-37.5,1.99711832504405
1969,5,182.5,-32.5,0.0101139751760621
1969,5,187.5,-42.5,5.46914170482744
1969,5,187.5,-32.5,0.000974970697963561
1969,6,-17.5,-42.5,19.9995438892235
1969,6,-12.5,-47.5,20.1107184901906
1969,6,-12.5,-42.5,25.2479196360958
1969,6,-12.5,-37.5,8.75395156993213
1969,6,-7.5,-47.5,18.0739324514378
1969,6,-7.5,-42.5,20.0436566416047
1969,6,-7.5,-37.5,6.28576105718266
1969,6,-2.5,-47.5,14.5333720299482
1969,6,-2.5,-42.5,14.060833278567
1969,6,-2.5,-37.5,3.07629421941305
1969,6,2.5,-47.5,14.1708775347957
1969,6,2.5,-42.5,11.9197476864368
1969,6,2.5,-37.5,1.47085265694975
1969,6,7.5,-47.5,16.1669360023072
1969,6,7.5,-42.5,12.9948987057019
1969,6,7.5,-37.5,1.27811484959944
1969,6,12.5,-47.5,16.9817392399882
1969,6,12.5,-42.5,15.8875665161985
1969,6,12.5,-37.5,1.05783384683801
1969,6,17.5,-47.5,15.3016294986677
1969,6,17.5,-42.5,18.7606057991253
1969,6,17.5,-37.5,0.792892456028469
1969,6,22.5,-47.5,14.0949680288091
1969,6,22.5,-42.5,18.2736237744637
1969,6,22.5,-37.5,1.74163465021175
1969,6,27.5,-47.5,14.5501850127978
1969,6,27.5,-42.5,13.9130877764148
1969,6,27.5,-37.5,6.14751470944456
1969,6,32.5,-47.5,14.1983904874158
1969,6,32.5,-42.5,10.2171747731132
1969,6,32.5,-37.5,10.3165312330758
1969,6,37.5,-47.5,11.3890837831554
1969,6,37.5,-42.5,8.82366958467628
1969,6,37.5,-37.5,6.09466344804372
1969,6,42.5,-42.5,8.50398030734835
1969,6,42.5,-37.5,2.43246284311565
1969,6,47.5,-42.5,8.13145680992098
1969,6,47.5,-37.5,1.59094339419408
1969,6,52.5,-47.5,7.38406681726065
1969,6,52.5,-42.5,7.38526737726512
1969,6,52.5,-37.5,2.33499350559927
1969,6,57.5,-47.5,6.28233131572907
1969,6,57.5,-42.5,6.35673170376333
1969,6,57.5,-37.5,2.09746466638644
1969,6,62.5,-47.5,4.94696344696294
1969,6,62.5,-42.5,5.52504930837582
1969,6,62.5,-37.5,0.803030710959354
1969,6,67.5,-47.5,4.67296580859505
1969,6,67.5,-42.5,5.48310936936403
1969,6,72.5,-42.5,6.20213230437199
1969,6,77.5,-47.5,5.65677102071468
1969,6,77.5,-42.5,6.50570091116329
1969,6,82.5,-47.5,4.26583655055067
1969,6,82.5,-42.5,5.64791196593184
1969,6,82.5,-37.5,4.0874300392938
1969,6,87.5,-42.5,5.00622566018907
1969,6,87.5,-37.5,3.59631378378682
1969,6,92.5,-42.5,5.55887224099073
1969,6,92.5,-37.5,3.15357253694505
1969,6,97.5,-47.5,5.30365437575968
1969,6,97.5,-42.5,6.66055389975417
1969,6,97.5,-37.5,2.73011655573438
1969,6,102.5,-47.5,6.25202697593228
1969,6,102.5,-42.5,6.74021007396055
1969,6,102.5,-37.5,2.13751489365002
1969,6,107.5,-47.5,6.07263606105613
1969,6,107.5,-42.5,5.93187498229961
1969,6,107.5,-37.5,1.52765646333939
1969,6,112.5,-42.5,5.50210999929442
1969,6,112.5,-37.5,1.28368988492471
1969,6,117.5,-47.5,5.74507105173358
1969,6,117.5,-42.5,5.58067582906129
1969,6,117.5,-37.5,1.66298270710855
1969,6,122.5,-47.5,6.23073161496059
1969,6,122.5,-42.5,5.42764549930967
1969,6,122.5,-37.5,2.74757843845981
1969,6,127.5,-47.5,6.9375641722831
1969,6,127.5,-42.5,4.78988848798027
1969,6,127.5,-37.5,4.62398240582922
1969,6,132.5,-47.5,6.76084995378604
1969,6,132.5,-42.5,4.2512597353412
1969,6,132.5,-37.5,6.67235102449113
1969,6,137.5,-47.5,5.36017412128214
1969,6,137.5,-42.5,4.22632166303595
1969,6,137.5,-37.5,6.88337000893247
1969,6,142.5,-47.5,4.4954999559958
1969,6,142.5,-42.5,5.0204650146248
1969,6,142.5,-37.5,6.83920538915171
1969,6,147.5,-47.5,5.17012655770978
1969,6,147.5,-42.5,7.25408848953944
1969,6,147.5,-37.5,8.92028057351918
1969,6,152.5,-47.5,6.49941707438454
1969,6,152.5,-42.5,10.1444271082606
1969,6,152.5,-37.5,11.2524720726063
1969,6,152.5,-32.5,2.28248316116779
1969,6,157.5,-42.5,10.1930810429472
1969,6,157.5,-37.5,7.0833048141231
1969,6,157.5,-32.5,0.744473361437602
1969,6,162.5,-47.5,4.82416674288876
1969,6,162.5,-42.5,7.9925387970604
1969,6,162.5,-37.5,1.58057226546538
1969,6,162.5,-32.5,0.0571979676350204
1969,6,167.5,-47.5,5.13722362656078
1969,6,167.5,-42.5,6.91418291102589
1969,6,167.5,-37.5,0.836393936541332
1969,6,167.5,-32.5,0.02111476252406
1969,6,172.5,-47.5,7.85338221347924
1969,6,172.5,-42.5,7.5002909608142
1969,6,172.5,-37.5,2.99397392459944
1969,6,172.5,-32.5,0.157484064883769
1969,6,177.5,-47.5,11.1037785993139
1969,6,177.5,-42.5,8.76139956407837
1969,6,177.5,-37.5,7.21292798063557
1969,6,177.5,-32.5,0.801117500845165
1969,6,182.5,-47.5,11.0064714897519
1969,6,182.5,-42.5,9.84995142973954
1969,6,182.5,-37.5,8.45731826167953
1969,6,182.5,-32.5,0.839861246508025
1969,6,187.5,-32.5,0.199289239720217
1969,7,-17.5,-42.5,11.5926851205481
1969,7,-12.5,-42.5,13.3393960882358
1969,7,-12.5,-37.5,7.48993976690586
1969,7,-7.5,-47.5,11.5131903955136
1969,7,-7.5,-42.5,10.8311856645497
1969,7,-7.5,-37.5,5.60657049676518
1969,7,-2.5,-47.5,9.4570974803479
1969,7,-2.5,-42.5,7.62986489409103
1969,7,-2.5,-37.5,3.46220499445192
1969,7,2.5,-47.5,8.92682876337179
1969,7,2.5,-42.5,6.00295017543991
1969,7,2.5,-37.5,2.34201581889421
1969,7,7.5,-47.5,10.2630462853838
1969,7,7.5,-42.5,6.33685953807534
1969,7,7.5,-37.5,2.29660255724262
1969,7,12.5,-47.5,14.0056888765595
1969,7,12.5,-42.5,10.1363158796849
1969,7,12.5,-37.5,2.76951161178114
1969,7,17.5,-47.5,20.8367328024449
1969,7,17.5,-42.5,20.8905634860241
1969,7,17.5,-37.5,3.74487088140503
1969,7,22.5,-47.5,28.6398653710764
1969,7,22.5,-42.5,31.6932832829563
1969,7,22.5,-37.5,8.70872179561578
1969,7,27.5,-47.5,31.6993545594062
1969,7,27.5,-42.5,25.6398800897151
1969,7,27.5,-37.5,22.2185827919556
1969,7,32.5,-42.5,15.693142137084
1969,7,32.5,-37.5,28.6097895167204
1969,7,37.5,-47.5,17.3963256314894
1969,7,37.5,-42.5,10.5864706946848
1969,7,37.5,-37.5,14.2618621442539
1969,7,42.5,-42.5,7.9669587509056
1969,7,42.5,-37.5,5.10913317121385
1969,7,47.5,-42.5,6.1452008021453
1969,7,47.5,-37.5,2.8598966534028
1969,7,52.5,-42.5,4.87930478945302
1969,7,52.5,-37.5,3.02558907578348
1969,7,57.5,-42.5,4.19609077147597
1969,7,57.5,-37.5,2.36464156173532
1969,7,62.5,-42.5,4.09841668127402
1969,7,67.5,-42.5,4.76437347906829
1969,7,67.5,-37.5,0.740895482220979
1969,7,72.5,-42.5,6.16787996947273
1969,7,77.5,-47.5,7.60686734119413
1969,7,77.5,-42.5,6.92729914033894
1969,7,77.5,-37.5,6.9442563805772
1969,7,82.5,-42.5,5.89647346640188
1969,7,82.5,-37.5,6.54376968795598
1969,7,87.5,-42.5,4.8069107529916
1969,7,87.5,-37.5,5.09409058399066
1969,7,92.5,-47.5,4.26452491490426
1969,7,92.5,-42.5,4.81355599839083
1969,7,92.5,-37.5,4.4792720612231
1969,7,97.5,-47.5,6.31300211864469
1969,7,97.5,-42.5,5.68994952585202
1969,7,97.5,-37.5,4.74120416701212
1969,7,102.5,-47.5,9.26169739963045
1969,7,102.5,-42.5,6.94122325054794
1969,7,102.5,-37.5,5.87519300283567
1969,7,107.5,-42.5,7.98744817379334
1969,7,107.5,-37.5,7.27682249596694
1969,7,112.5,-42.5,8.1486423472588
1969,7,112.5,-37.5,7.29474091128181
1969,7,117.5,-42.5,7.00799728340064
1969,7,117.5,-37.5,6.09752919614635
1969,7,122.5,-42.5,4.89579610463279
1969,7,127.5,-47.5,5.513010981321
1969,7,127.5,-42.5,3.04793698961228
1969,7,132.5,-42.5,2.36285573300325
1969,7,132.5,-37.5,4.89114577537432
1969,7,137.5,-47.5,4.36814598153218
1969,7,137.5,-42.5,2.8814765581955
1969,7,142.5,-47.5,5.16520697359412
1969,7,142.5,-42.5,4.51737604394755
1969,7,147.5,-47.5,6.13484602579381
1969,7,147.5,-42.5,6.88801668121503
1969,7,147.5,-37.5,14.2324096874985
1969,7,152.5,-47.5,6.35847496922401
1969,7,152.5,-42.5,8.55267530948259
1969,7,152.5,-37.5,16.4313092864301
1969,7,152.5,-32.5,8.49009135992423
