Cohort,CaptureYear,CaptureCov,CaptureSwitch,NPOPS,Comps
2005,2008,17,0,0,129518
2006,2008,17,0,0,121353
2007,2008,17,0,0,129188
2002,2009,17,0,0,13743
2003,2009,17,0,1,122911
2004,2009,17,0,0,157533
2005,2009,17,0,1,133883
2006,2009,17,0,0,124737
2007,2009,17,0,1,133244
2002,2010,17,0,0,6085
2003,2010,17,0,0,54448
2004,2010,17,0,0,71171
2005,2010,17,0,0,59304
2006,2010,17,0,0,55370
2007,2010,17,0,0,59076
2002,2006,18,0,0,1015
2003,2006,18,0,0,9087
2004,2006,18,0,0,11924
2005,2006,18,0,0,9924
2002,2007,18,0,0,9213
2003,2007,18,0,1,82627
2004,2007,18,0,1,104984
2005,2007,18,0,0,89811
2006,2007,18,0,1,83939
2002,2008,18,0,0,13197
2003,2008,18,0,0,118327
2004,2008,18,0,0,147001
2005,2008,18,0,1,128509
2006,2008,18,0,0,120312
2007,2008,18,0,2,128028
2002,2009,18,0,0,12449
2003,2009,18,0,0,111324
2004,2009,18,0,0,143124
2005,2009,18,0,1,121156
2006,2009,18,0,0,113023
2007,2009,18,0,0,120667
2002,2010,18,0,0,7531
2003,2010,18,0,0,67402
2004,2010,18,0,0,88321
2005,2010,18,0,0,73450
2006,2010,18,0,0,68580
2007,2010,18,0,1,73182
2002,2006,19,0,0,3045
2003,2006,19,0,0,27263
2004,2006,19,0,0,35842
2005,2006,19,0,0,29769
2002,2007,19,0,0,12090
2003,2007,19,0,1,108264
2004,2007,19,0,0,137539
2005,2007,19,0,0,117867
2006,2007,19,0,0,110071
2002,2008,19,0,0,16791
2003,2008,19,0,0,150499
2004,2008,19,0,0,187325
2005,2008,19,0,1,162987
2006,2008,19,0,0,152885
2007,2008,19,0,1,162875
2002,2009,19,0,0,20820
2003,2009,19,0,0,186264
2004,2009,19,0,0,237518
2005,2009,19,0,0,202711
2006,2009,19,0,0,189062
2007,2009,19,0,0,201819
2002,2010,19,0,0,15949
2003,2010,19,0,0,142759
2004,2010,19,0,0,187180
2005,2010,19,0,1,155827
2006,2010,19,0,0,145120
2007,2010,19,0,0,154889
2002,2006,20,0,0,725
2003,2006,20,0,0,6483
2004,2006,20,0,0,8478
2005,2006,20,0,0,7071
2002,2007,20,0,0,4171
2003,2007,20,0,0,37400
2004,2007,20,0,0,47259
2005,2007,20,0,0,40604
2006,2007,20,0,0,37987
2002,2008,20,0,0,8428
2003,2008,20,0,1,75508
2004,2008,20,0,0,93605
2005,2008,20,0,0,81767
2006,2008,20,0,0,76812
2007,2008,20,0,0,81728
2002,2009,20,0,0,6950
2003,2009,20,0,0,62137
2004,2009,20,0,0,79329
2005,2009,20,0,0,67735
2006,2009,20,0,1,63075
2007,2009,20,0,0,67320
2002,2010,20,0,0,3480
2003,2010,20,0,0,31157
2004,2010,20,0,1,40910
2005,2010,20,0,0,34017
2006,2010,20,0,0,31665
2007,2010,20,0,0,33797
2002,2006,21,0,0,1015
2003,2006,21,0,0,9083
2004,2006,21,0,0,11899
2005,2006,21,0,0,9914
2002,2007,21,0,0,6323
2003,2007,21,0,0,56584
2004,2007,21,0,0,71510
2005,2007,21,0,1,61659
2006,2007,21,0,0,57561
2002,2008,21,0,0,4463
2003,2008,21,0,0,40057
2004,2008,21,0,0,50546
2005,2008,21,0,0,43518
2006,2008,21,0,0,40639
2007,2008,21,0,0,43327
2002,2009,21,0,0,7226
2003,2009,21,0,0,64619
2004,2009,21,0,0,81972
2005,2009,21,0,1,70081
2006,2009,21,0,1,65596
2007,2009,21,0,0,70013
2002,2010,21,0,0,4930
2003,2010,21,0,0,44126
2004,2010,21,0,0,57818
2005,2010,21,0,0,48170
2006,2010,21,0,0,44837
2007,2010,21,0,0,47858
2002,2006,22,0,0,725
2003,2006,22,0,0,6493
2004,2006,22,0,0,8546
2005,2006,22,0,0,7089
2002,2007,22,0,0,1873
2003,2007,22,0,1,16821
2004,2007,22,0,0,21336
2005,2007,22,0,0,18312
2006,2007,22,0,0,17064
2002,2008,22,0,0,4552
2003,2008,22,0,0,40577
2004,2008,22,0,0,50839
2005,2008,22,0,0,44105
2006,2008,22,0,0,41470
2007,2008,22,0,0,44093
2002,2009,22,0,0,4462
2003,2009,22,0,0,39939
2004,2009,22,0,0,51201
2005,2009,22,0,0,43478
2006,2009,22,0,0,40473
2007,2009,22,0,0,43298
2002,2010,22,0,0,3335
2003,2010,22,0,0,29844
2004,2010,22,0,0,39117
2005,2010,22,0,0,32569
2006,2010,22,0,0,30342
2007,2010,22,0,0,32380
2002,2006,23,0,0,435
2003,2006,23,0,0,3894
2004,2006,23,0,0,5128
2005,2006,23,0,0,4253
2002,2007,23,0,0,1730
2003,2007,23,0,0,15531
2004,2007,23,0,0,19536
2005,2007,23,0,0,16908
2006,2007,23,0,0,15761
2002,2008,23,0,0,3690
2003,2008,23,0,0,32997
2004,2008,23,0,0,41148
2005,2008,23,0,0,35646
2006,2008,23,0,0,33594
2007,2008,23,0,0,35721
2002,2009,23,0,0,4634
2003,2009,23,0,0,41426
2004,2009,23,0,0,53042
2005,2009,23,0,0,45148
2006,2009,23,0,0,42059
2007,2009,23,0,0,44903
